metric,group_dimension,group_value,unit,bin_lower_exclusive,bin_upper_inclusive,bin_label,bin_count,bin_share,cumulative_count,cumulative_share,total_count
turn_gap_seconds,all,all,seconds,0,0,0,16247,0.05299138608662185,16247,0.05299138608662185,306597
turn_gap_seconds,all,all,seconds,0,0.001,"(0,0.001]",388,0.0012655048810001402,16635,0.05425689096762199,306597
turn_gap_seconds,all,all,seconds,0.001995262314968879,0.00223872113856834,"(0.00199526231,0.00223872114]",1133,0.0036954047169411313,17768,0.05795229568456312,306597
turn_gap_seconds,all,all,seconds,0.002818382931264455,0.0031622776601683794,"(0.00281838293,0.00316227766]",1164,0.0037965146430004207,18932,0.06174881032756355,306597
turn_gap_seconds,all,all,seconds,0.003981071705534973,0.0044668359215096305,"(0.00398107171,0.00446683592]",1169,0.003812822695590629,20101,0.06556163302315417,306597
turn_gap_seconds,all,all,seconds,0.0044668359215096305,0.005011872336272725,"(0.00446683592,0.00501187234]",1719,0.005606708480513508,21820,0.07116834150366769,306597
turn_gap_seconds,all,all,seconds,0.005623413251903491,0.00630957344480193,"(0.00562341325,0.00630957344]",1198,0.003907409400613835,23018,0.07507575090428152,306597
turn_gap_seconds,all,all,seconds,0.00630957344480193,0.00707945784384138,"(0.00630957344,0.00707945784]",1036,0.0033790284966910963,24054,0.07845477940097262,306597
turn_gap_seconds,all,all,seconds,0.007943282347242814,0.008912509381337459,"(0.00794328235,0.00891250938]",1069,0.003486661643786469,25123,0.08194144104475908,306597
turn_gap_seconds,all,all,seconds,0.008912509381337459,0.01,"(0.00891250938,0.01]",2009,0.006552575530745571,27132,0.08849401657550465,306597
turn_gap_seconds,all,all,seconds,0.01,0.011220184543019636,"(0.01,0.0112201845]",1093,0.0035649402962194673,28225,0.09205895687172412,306597
turn_gap_seconds,all,all,seconds,0.011220184543019636,0.012589254117941675,"(0.0112201845,0.0125892541]",1239,0.00404113543185354,29464,0.09610009230357766,306597
turn_gap_seconds,all,all,seconds,0.012589254117941675,0.01412537544622754,"(0.0125892541,0.0141253754]",2495,0.008137718242513789,31959,0.10423781054609145,306597
turn_gap_seconds,all,all,seconds,0.01412537544622754,0.015848931924611134,"(0.0141253754,0.0158489319]",1051,0.0034279526544617202,33010,0.10766576320055317,306597
turn_gap_seconds,all,all,seconds,0.015848931924611134,0.01778279410038923,"(0.0158489319,0.0177827941]",1657,0.005404488628394929,34667,0.1130702518289481,306597
turn_gap_seconds,all,all,seconds,0.01778279410038923,0.0199526231496888,"(0.0177827941,0.0199526231]",1605,0.005234884881456766,36272,0.11830513671040487,306597
turn_gap_seconds,all,all,seconds,0.0199526231496888,0.0223872113856834,"(0.0199526231,0.0223872114]",2861,0.009331467692117014,39133,0.12763660440252186,306597
turn_gap_seconds,all,all,seconds,0.0223872113856834,0.025118864315095794,"(0.0223872114,0.0251188643]",3186,0.010391491110480534,42319,0.1380280955130024,306597
turn_gap_seconds,all,all,seconds,0.025118864315095794,0.028183829312644536,"(0.0251188643,0.0281838293]",3362,0.010965534561655855,45681,0.14899363007465827,306597
turn_gap_seconds,all,all,seconds,0.028183829312644536,0.03162277660168379,"(0.0281838293,0.0316227766]",3283,0.010707867330730567,48964,0.15970149740538883,306597
turn_gap_seconds,all,all,seconds,0.03162277660168379,0.03548133892335755,"(0.0316227766,0.0354813389]",4061,0.013245400313766932,53025,0.17294689771915575,306597
turn_gap_seconds,all,all,seconds,0.03548133892335755,0.039810717055349734,"(0.0354813389,0.0398107171]",4444,0.014494597142176864,57469,0.18744149486133263,306597
turn_gap_seconds,all,all,seconds,0.039810717055349734,0.0446683592150963,"(0.0398107171,0.0446683592]",5190,0.016927758588635898,62659,0.20436925344996854,306597
turn_gap_seconds,all,all,seconds,0.0446683592150963,0.05011872336272722,"(0.0446683592,0.0501187234]",5354,0.01746266271359472,68013,0.22183191616356324,306597
turn_gap_seconds,all,all,seconds,0.05011872336272722,0.05623413251903491,"(0.0501187234,0.0562341325]",5426,0.017697498670893715,73439,0.23952941483445697,306597
turn_gap_seconds,all,all,seconds,0.05623413251903491,0.06309573444801933,"(0.0562341325,0.0630957344]",5702,0.018597703173873194,79141,0.25812711800833016,306597
turn_gap_seconds,all,all,seconds,0.06309573444801933,0.0707945784384138,"(0.0630957344,0.0707945784]",5099,0.01663095203149411,84240,0.2747580700398243,306597
turn_gap_seconds,all,all,seconds,0.0707945784384138,0.07943282347242814,"(0.0707945784,0.0794328235]",5705,0.01860748800542732,89945,0.2933655580452516,306597
turn_gap_seconds,all,all,seconds,0.07943282347242814,0.08912509381337455,"(0.0794328235,0.0891250938]",5070,0.016536365326470903,95015,0.3099019233717225,306597
turn_gap_seconds,all,all,seconds,0.08912509381337455,0.1,"(0.0891250938,0.1]",5000,0.016308052590207994,100015,0.32620997596193047,306597
