metric,group_dimension,group_value,unit,bin_lower_exclusive,bin_upper_inclusive,bin_label,bin_count,bin_share,cumulative_count,cumulative_share,total_count
context_length_tokens,all,all,tokens,223873,251189,"(223873,251189]",11337,0.035967981928762015,276202,0.8762837209745017,315197
context_length_tokens,all,all,tokens,251189,281839,"(251189,281839]",6354,0.020158821308578444,282556,0.8964425422830801,315197
context_length_tokens,all,all,tokens,281839,316228,"(281839,316228]",6184,0.019619476073693593,288740,0.9160620183567737,315197
context_length_tokens,all,all,tokens,316228,354814,"(316228,354814]",5521,0.017516029657642682,294261,0.9335780480144164,315197
context_length_tokens,all,all,tokens,354814,398108,"(354814,398108]",4756,0.015088976100660857,299017,0.9486670241150772,315197
context_length_tokens,all,all,tokens,398108,446684,"(398108,446684]",3659,0.011608613026139207,302676,0.9602756371412164,315197
context_length_tokens,all,all,tokens,446684,501188,"(446684,501188]",2439,0.007738017811083227,305115,0.9680136549522996,315197
context_length_tokens,all,all,tokens,501188,562342,"(501188,562342]",1911,0.006062874963911459,307026,0.9740765299162112,315197
context_length_tokens,all,all,tokens,562342,630958,"(562342,630958]",1699,0.005390279729819763,308725,0.979466809646031,315197
context_length_tokens,all,all,tokens,630958,707946,"(630958,707946]",1678,0.005323654730216341,310403,0.9847904643762473,315197
context_length_tokens,all,all,tokens,707946,794329,"(707946,794329]",1842,0.005843964250928784,312245,0.990634428627176,315197
context_length_tokens,all,all,tokens,794329,891251,"(794329,891251]",1699,0.005390279729819763,313944,0.9960247083569957,315197
context_length_tokens,all,all,tokens,891251,999944,"(891251,999944]",1253,0.003975291643004216,315197,1.0,315197
context_length_tokens,provider,claude,tokens,399,447,"(399,447]",3,1.648333534796321e-05,3,1.648333534796321e-05,182002
context_length_tokens,provider,claude,tokens,502,563,"(502,563]",6,3.296667069592642e-05,9,4.945000604388963e-05,182002
context_length_tokens,provider,claude,tokens,563,631,"(563,631]",5,2.747222557993868e-05,14,7.69222316238283e-05,182002
context_length_tokens,provider,claude,tokens,631,708,"(631,708]",5,2.747222557993868e-05,19,0.000104394457203767,182002
context_length_tokens,provider,claude,tokens,708,795,"(708,795]",1,5.494445115987737e-06,20,0.00010988890231975472,182002
context_length_tokens,provider,claude,tokens,3549,3982,"(3549,3982]",2,1.0988890231975473e-05,22,0.0001208777925517302,182002
context_length_tokens,provider,claude,tokens,3982,4467,"(3982,4467]",9,4.945000604388963e-05,31,0.00017032779859561982,182002
context_length_tokens,provider,claude,tokens,4467,5012,"(4467,5012]",21,0.00011538334743574246,52,0.0002857111460313623,182002
context_length_tokens,provider,claude,tokens,5012,5624,"(5012,5624]",11,6.04388962758651e-05,63,0.00034615004230722737,182002
context_length_tokens,provider,claude,tokens,5624,6310,"(5624,6310]",12,6.593334139185284e-05,75,0.0004120833836990802,182002
context_length_tokens,provider,claude,tokens,6310,7080,"(6310,7080]",24,0.00013186668278370567,99,0.0005439500664827859,182002
context_length_tokens,provider,claude,tokens,7080,7944,"(7080,7944]",37,0.00020329446929154624,136,0.0007472445357743321,182002
context_length_tokens,provider,claude,tokens,7944,8913,"(7944,8913]",157,0.0008626278832100747,293,0.0016098724189844067,182002
context_length_tokens,provider,claude,tokens,8913,10000,"(8913,10000]",191,0.0010494390171536577,484,0.0026593114361380646,182002
context_length_tokens,provider,claude,tokens,10000,11221,"(10000,11221]",303,0.001664816870144284,787,0.0043241283062823484,182002
context_length_tokens,provider,claude,tokens,11221,12590,"(11221,12590]",432,0.002373600290106702,1219,0.006697728596389051,182002
context_length_tokens,provider,claude,tokens,12590,14126,"(12590,14126]",840,0.004615333897429698,2059,0.011313062493818749,182002
context_length_tokens,provider,claude,tokens,14126,15849,"(14126,15849]",1553,0.008532873265128955,3612,0.019845935758947705,182002
context_length_tokens,provider,claude,tokens,15849,17783,"(15849,17783]",1787,0.009818573422270086,5399,0.02966450918121779,182002
context_length_tokens,provider,claude,tokens,17783,19953,"(17783,19953]",2329,0.012796562675135438,7728,0.04246107185635323,182002
context_length_tokens,provider,claude,tokens,19953,22388,"(19953,22388]",2414,0.013263590509994396,10142,0.05572466236634762,182002
context_length_tokens,provider,claude,tokens,22388,25119,"(22388,25119]",2604,0.014307535082032065,12746,0.07003219744837968,182002
context_length_tokens,provider,claude,tokens,25119,28184,"(25119,28184]",3076,0.016900913176778276,15822,0.08693311062515796,182002
context_length_tokens,provider,claude,tokens,28184,31623,"(28184,31623]",3449,0.0189503412050417,19271,0.10588345183019966,182002
context_length_tokens,provider,claude,tokens,31623,35482,"(31623,35482]",4206,0.02310963615784442,23477,0.1289930879880441,182002
context_length_tokens,provider,claude,tokens,35482,39811,"(35482,39811]",5255,0.028873309084515554,28732,0.15786639707255964,182002
context_length_tokens,provider,claude,tokens,39811,44669,"(39811,44669]",5847,0.032126020593180295,34579,0.18999241766573993,182002
context_length_tokens,provider,claude,tokens,44669,50119,"(44669,50119]",6795,0.03733475456313667,41374,0.2273271722288766,182002
context_length_tokens,provider,claude,tokens,50119,56235,"(50119,56235]",7325,0.04024681047461017,48699,0.26757398270348676,182002
context_length_tokens,provider,claude,tokens,56235,63096,"(56235,63096]",7614,0.04183470511313062,56313,0.3094086878166174,182002
context_length_tokens,provider,claude,tokens,63096,70795,"(63096,70795]",7532,0.04138416061361963,63845,0.350792848430237,182002
context_length_tokens,provider,claude,tokens,70795,79433,"(70795,79433]",7729,0.042466566301469215,71574,0.3932594147317062,182002
