metric,group_dimension,group_value,unit,bin_lower_exclusive,bin_upper_inclusive,bin_label,bin_count,bin_share,cumulative_count,cumulative_share,total_count
isl_tokens,all,all,tokens,1123,1259,"(1123,1259]",5492,0.017424023705809383,234892,0.7452228288974831,315197
isl_tokens,all,all,tokens,1259,1413,"(1259,1413]",5230,0.016592797520280967,240122,0.7618156264177641,315197
isl_tokens,all,all,tokens,1413,1585,"(1413,1585]",4996,0.015850404667557116,245118,0.7776660310853213,315197
isl_tokens,all,all,tokens,1585,1779,"(1585,1779]",4763,0.015111184433861998,249881,0.7927772155191832,315197
isl_tokens,all,all,tokens,1779,1996,"(1779,1996]",4742,0.015044559434258574,254623,0.8078217749534418,315197
isl_tokens,all,all,tokens,1996,2239,"(1996,2239]",4462,0.01415622610621294,259085,0.8219780010596548,315197
isl_tokens,all,all,tokens,2239,2512,"(2239,2512]",4391,0.013930970155172797,263476,0.8359089712148275,315197
isl_tokens,all,all,tokens,2512,2819,"(2512,2819]",4129,0.013099743969644381,267605,0.849008715184472,315197
isl_tokens,all,all,tokens,2819,3163,"(2819,3163]",3973,0.012604815401161814,271578,0.8616135305856337,315197
isl_tokens,all,all,tokens,3163,3549,"(3163,3549]",3734,0.011846559453294289,275312,0.873460090038928,315197
isl_tokens,all,all,tokens,3549,3982,"(3549,3982]",3561,0.011297696361323236,278873,0.8847577864002513,315197
isl_tokens,all,all,tokens,3982,4467,"(3982,4467]",3420,0.010850357078271684,282293,0.8956081434785229,315197
isl_tokens,all,all,tokens,4467,5012,"(4467,5012]",2917,0.009254529706818275,285210,0.9048626731853412,315197
isl_tokens,all,all,tokens,5012,5624,"(5012,5624]",2735,0.008677113043588612,287945,0.9135397862289298,315197
isl_tokens,all,all,tokens,5624,6310,"(5624,6310]",2568,0.008147285665789965,290513,0.9216870718947198,315197
isl_tokens,all,all,tokens,6310,7080,"(6310,7080]",2150,0.006821130911778983,292663,0.9285082028064988,315197
isl_tokens,all,all,tokens,7080,7944,"(7080,7944]",2074,0.006580011865595168,294737,0.9350882146720939,315197
isl_tokens,all,all,tokens,7944,8913,"(7944,8913]",2260,0.007170119004939768,296997,0.9422583336770337,315197
isl_tokens,all,all,tokens,8913,10000,"(8913,10000]",2017,0.006399172580957306,299014,0.9486575062579911,315197
isl_tokens,all,all,tokens,10000,11221,"(10000,11221]",2020,0.006408690438043509,301034,0.9550661966960345,315197
